sample-id	Target	Harvest_ID	Block_row_column	Sp_speed	Stress	Speed	Block	Rows	Columns	root_weight	Nucleic_Acid_ngul	Plate_name	Plate_postion	Plate_row	Plate_column	GQ_submission_order	sample_type	greenhouse_compartment	greenhouse_table	Sp_full_name	Sp_abb_name	Sp_Tribe	Sp_Lineage_Walden	Sp_Family	Sp_Guest	Roots	Shoot_.DryWeight	Rainbow	Broken	Flowering	soil_moisture	Missing	Notes_1	Notes_2	Rainbow.batch	barcode	Amplicon_concentation_ngul
Blank_F1_ITS	ITS	Blank_F1	Blank	F1	Blank	Fast	Blank	Blank	Blank	Blank	7.8	F1_F2	A7	A	7	49	Blank	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no											VAL12505804-A07	13.969
241_ITS	ITS	241	1.2.8	F2	Control	Fast	1	2	8	5.17	47.9	F1_F2	B7	B	7	50	rhizoplane	2.12	1_2	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.723	0	0	0	normal	0	Root with nodules			VAL12505804-B07	26.212
242_ITS	ITS	242	2.4.11	F2	Control	Fast	2	4	11	3.94	68	F1_F2	C7	C	7	51	rhizoplane	2.12	1_2	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.903	0	0	0	normal	0	Root with nodules			VAL12505804-C07	28.101
243_ITS	ITS	243	3.6.12	F2	Control	Fast	3	6	12	8.05	57.2	F1_F2	D7	D	7	52	rhizoplane	2.12	3_4	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.97	0	0	0	normal	0	Root with nodules			VAL12505804-D07	26.395
244_ITS	ITS	244	4.4.9	F2	Control	Fast	4	4	9	3.62	66.7	F1_F2	E7	E	7	53	rhizoplane	2.12	3_4	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.564	0	0	0	normal	0	Root with nodules			VAL12505804-E07	27.209
245_ITS	ITS	245	5.2.5	F2	Control	Fast	5	2	5	5.71	73.2	F1_F2	F7	F	7	54	rhizoplane	2.12	5_6	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.691	0	0	0	normal	0	Root with nodules			VAL12505804-F07	32.519
246_ITS	ITS	246	6.3.7	F2	Control	Fast	6	3	7	6.92	77	F1_F2	G7	G	7	55	rhizoplane	2.12	5_6	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	1.197	0	0	0	normal	0	Root with nodules			VAL12505804-G07	31.052
247_ITS	ITS	247	7.3.4	F2	Control	Fast	7	3	4	2.7	86.2	F1_F2	H7	H	7	56	rhizoplane	2.12	7_8	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505804-H07	30.331
249_ITS	ITS	249	9.6.10	F2	Control	Fast	9	6	10	3.12	70.4	F1_F2	A8	A	8	57	rhizoplane	2.1	9_10	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505804-A08	26.691
250_ITS	ITS	250	10.2.1	F2	Control	Fast	10	2	1	3.07	72.4	F1_F2	B8	B	8	58	rhizoplane	2.1	9_10	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.964	0	0	0	normal	0	Root with nodules			VAL12505804-B08	27.12
251_ITS	ITS	251	11.3.15	F2	Control	Fast	11	3	15	6.01	75.3	F1_F2	C8	C	8	59	rhizoplane	2.1	11_12	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.918	0	0	0	normal	0	Root with nodules			VAL12505804-C08	24.823
252_ITS	ITS	252	12.5.3	F2	Control	Fast	12	5	3	3.17	70.4	F1_F2	D8	D	8	60	rhizoplane	2.1	11_12	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	1.103	0	0	0	normal	0	Root with nodules			VAL12505804-D08	27.623
253_ITS	ITS	253	13.5.16	F2	Control	Fast	13	5	16	6.37	71.2	F1_F2	E8	E	8	61	rhizoplane	2.1	13_14	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.89	0	0	0	normal	0	Root with nodules			VAL12505804-E08	25.787
254_ITS	ITS	254	14.1.14	F2	Control	Fast	14	1	14	4.11	59.5	F1_F2	F8	F	8	62	rhizoplane	2.1	13_14	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505804-F08	29.18
255_ITS	ITS	255	15.2.13	F2	Control	Fast	15	2	13	3.78	38.6	F1_F2	G8	G	8	63	rhizoplane	2.1	15_16	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505804-G08	22.554
257_ITS	ITS	257	1.2.5	F2	MeJA	Fast	1	2	5	4.65	2.3	F1_F2	H8	H	8	64	rhizoplane	2.12	1_2	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.891	0	0	0	normal	0	Root with nodules			VAL12505804-H08	28.993
258_ITS	ITS	258	2.5.15	F2	MeJA	Fast	2	5	15	3.42	74.2	F1_F2	A9	A	9	65	rhizoplane	2.12	1_2	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.485	0	0	0	normal	0	Root with nodules			VAL12505804-A09	25.124
259_ITS	ITS	259	3.1.6	F2	MeJA	Fast	3	1	6	2.98	66	F1_F2	B9	B	9	66	rhizoplane	2.12	3_4	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.743	0	0	0	normal	0	Root with nodules			VAL12505804-B09	27.134
260_ITS	ITS	260	4.3.1	F2	MeJA	Fast	4	3	1	3.2	96.7	F1_F2	C9	C	9	67	rhizoplane	2.12	3_4	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.603	0	0	0	normal	0	Root with nodules			VAL12505804-C09	28.387
261_ITS	ITS	261	5.2.14	F2	MeJA	Fast	5	2	14	4.82	60.9	F1_F2	D9	D	9	68	rhizoplane	2.12	5_6	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.59	0	0	0	normal	0	Root with nodules			VAL12505804-D09	26.712
263_ITS	ITS	263	7.4.10	F2	MeJA	Fast	7	4	10	4.45	62.9	F1_F2	E9	E	9	69	rhizoplane	2.12	7_8	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules			VAL12505804-E09	28.137
265_ITS	ITS	265	9.4.12	F2	MeJA	Fast	9	4	12	3.8	58.5	F1_F2	F9	F	9	70	rhizoplane	2.1	9_10	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505804-F09	27.4
266_ITS	ITS	266	10.2.9	F2	MeJA	Fast	10	2	9	6.25	58	F1_F2	G9	G	9	71	rhizoplane	2.1	9_10	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	1.106	0	0	0	normal	0	Root with nodules			VAL12505804-G09	28.062
